time,latitude,longitude,altitude (ft)
2020-10-08 17:22:45,42.978622032,-78.808247298,601.8
2020-10-08 17:22:46,42.978483682,-78.808362715,601.4
2020-10-08 17:22:47,42.978341186,-78.808475284,601.4
2020-10-08 17:22:48,42.978201091,-78.808582228,600.1
2020-10-08 17:22:49,42.978068797,-78.808689106,599.9
2020-10-08 17:22:50,42.977921118,-78.808807560,599.8
2020-10-08 17:22:51,42.977785587,-78.808911562,600.5
2020-10-08 17:22:52,42.977655750,-78.809015005,601.9
2020-10-08 17:22:53,42.977517857,-78.809125613,601.4
2020-10-08 17:22:54,42.977383025,-78.809232782,602.5
2020-10-08 17:22:55,42.977256510,-78.809332620,601.8
2020-10-08 17:22:56,42.977137314,-78.809424971,603.7
2020-10-08 17:22:57,42.977016244,-78.809517600,604.4
2020-10-08 17:22:58,42.976897325,-78.809609278,605.1
2020-10-08 17:22:59,42.976782951,-78.809697615,605.5
2020-10-08 17:23:00,42.976676653,-78.809779266,606.2
2020-10-08 17:23:01,42.976579645,-78.809855171,604.2
2020-10-08 17:23:02,42.976479837,-78.809934186,604.7
2020-10-08 17:23:03,42.976383039,-78.810018453,604.4
2020-10-08 17:23:04,42.976296999,-78.810086475,603.2
2020-10-08 17:23:05,42.976220605,-78.810146276,603.2
2020-10-08 17:23:06,42.976152896,-78.810201194,603.0
2020-10-08 17:23:07,42.976071132,-78.810162401,603.6
2020-10-08 17:23:08,42.976002710,-78.810109399,605.1
2020-10-08 17:23:09,42.975929162,-78.810038794,606.3
2020-10-08 17:23:10,42.975866706,-78.809942187,606.8
2020-10-08 17:23:11,42.975797116,-78.809831581,607.7
2020-10-08 17:23:12,42.975737344,-78.809694589,610.5
2020-10-08 17:23:13,42.975654148,-78.809589249,612.0
2020-10-08 17:23:14,42.975552262,-78.809468515,611.9
2020-10-08 17:23:15,42.975459732,-78.809338486,611.9
2020-10-08 17:23:16,42.975338960,-78.809225511,611.9
2020-10-08 17:23:17,42.975210857,-78.809111172,613.3
2020-10-08 17:23:18,42.975073477,-78.808991340,613.2
2020-10-08 17:23:19,42.974927088,-78.808864782,613.4
2020-10-08 17:23:20,42.974773649,-78.808731229,612.2
2020-10-08 17:23:21,42.974621567,-78.808611638,612.6
2020-10-08 17:23:22,42.974463345,-78.808496388,610.5
2020-10-08 17:23:23,42.974321272,-78.808350093,609.4
2020-10-08 17:23:24,42.974169757,-78.808218989,611.3
2020-10-08 17:23:25,42.974019477,-78.808088813,610.0
2020-10-08 17:23:26,42.973864743,-78.807954775,607.5
2020-10-08 17:23:27,42.973709263,-78.807820095,605.0
2020-10-08 17:23:28,42.973549263,-78.807675534,605.4
2020-10-08 17:23:29,42.973412646,-78.807548797,604.4
2020-10-08 17:23:30,42.973267986,-78.807421497,604.1
2020-10-08 17:23:31,42.973131052,-78.807303985,602.2
2020-10-08 17:23:32,42.972994733,-78.807185294,603.0
2020-10-08 17:23:33,42.972868984,-78.807077749,601.2
2020-10-08 17:23:34,42.972754040,-78.806980418,601.7
2020-10-08 17:23:35,42.972652180,-78.806891596,601.7
2020-10-08 17:23:36,42.972575297,-78.806825311,600.5
2020-10-08 17:23:37,42.972519813,-78.806776425,600.4
2020-10-08 17:23:38,42.972456697,-78.806721427,601.2
2020-10-08 17:23:39,42.972408235,-78.806679352,601.4
2020-10-08 17:23:40,42.972373904,-78.806650158,601.7
2020-10-08 17:23:41,42.972357423,-78.806635254,602.0
2020-10-08 17:23:43,42.972341288,-78.806624093,603.0
2020-10-08 17:23:55,42.972301420,-78.806591589,605.3
2020-10-08 17:24:01,42.972284393,-78.806568858,605.6
2020-10-08 17:24:03,42.972239294,-78.806523068,605.7
2020-10-08 17:24:04,42.972209452,-78.806492558,605.8
2020-10-08 17:24:05,42.972173845,-78.806459622,606.0
2020-10-08 17:24:06,42.972136926,-78.806424904,606.2
2020-10-08 17:24:07,42.972093123,-78.806388123,606.4
2020-10-08 17:24:08,42.972043771,-78.806342863,606.7
2020-10-08 17:24:09,42.971983316,-78.806288328,607.1
2020-10-08 17:24:10,42.971926115,-78.806235800,607.3
2020-10-08 17:24:11,42.971856024,-78.806188301,607.5
2020-10-08 17:24:12,42.971797350,-78.806131937,607.7
2020-10-08 17:24:13,42.971733591,-78.806076458,607.0
2020-10-08 17:24:14,42.971613279,-78.806220705,606.5
2020-10-08 17:24:15,42.971574252,-78.806276793,608.5
2020-10-08 17:24:16,42.971486243,-78.806352889,610.3
2020-10-08 17:24:17,42.971375892,-78.806423837,609.5
2020-10-08 17:24:18,42.971271273,-78.806518032,610.4
2020-10-08 17:24:19,42.971167237,-78.806621670,611.0
2020-10-08 17:24:20,42.971052837,-78.806725036,611.0
2020-10-08 17:24:21,42.970928096,-78.806839864,610.1
2020-10-08 17:24:22,42.970804665,-78.806945610,610.4
2020-10-08 17:24:23,42.970677682,-78.807058034,611.3
2020-10-08 17:24:24,42.970528354,-78.807186253,609.8
2020-10-08 17:24:25,42.970392405,-78.807323597,610.6
2020-10-08 17:24:26,42.970259744,-78.807441999,612.4
2020-10-08 17:24:27,42.970108937,-78.807576594,611.9
2020-10-08 17:24:28,42.969948878,-78.807719449,611.8
