lat,long
43.00434,-78.80138
42.99096,-78.80411
43.00429,-78.80134
42.99089,-78.80415
43.00426,-78.80128
42.99083,-78.80419
43.00426,-78.80118
42.99076,-78.80423
43.00426,-78.80107
42.99068,-78.80428
43.00427,-78.80096
42.99059,-78.80434
43.00425,-78.80081
42.99048,-78.80440
43.00424,-78.80066
42.99038,-78.80446
43.00425,-78.80048
42.99029,-78.80451
43.00425,-78.80030
42.99017,-78.80458
43.00425,-78.80011
42.99003,-78.80465
43.00425,-78.79993
42.98990,-78.80472
43.00425,-78.79977
42.98977,-78.80481
43.00425,-78.79960
42.98965,-78.80493
43.00425,-78.79941
42.98954,-78.80509
43.00426,-78.79927
42.98944,-78.80524
43.00426,-78.79912
42.98939,-78.80546
43.00426,-78.79904
42.98929,-78.80564
43.00426,-78.79899
42.98918,-78.80583
43.00427,-78.79895
42.98908,-78.80602
43.00426,-78.79893
42.98894,-78.80617
43.00426,-78.79890
42.98884,-78.80636
43.00416,-78.79881
42.98874,-78.80655
43.00407,-78.79881
42.98864,-78.80674
43.00397,-78.79881
42.98854,-78.80693
43.00383,-78.79882
42.98846,-78.80712
43.00371,-78.79881
42.98837,-78.80728
43.00358,-78.79880
42.98828,-78.80743
43.00344,-78.79880
42.98819,-78.80755
43.00330,-78.79880
42.98808,-78.80763
43.00315,-78.79880
42.98797,-78.80769
43.00299,-78.79880
42.98784,-78.80770
43.00284,-78.79880
42.98772,-78.80771
43.00268,-78.79880
42.98759,-78.80769
43.00251,-78.79880
42.98746,-78.80769
43.00234,-78.79880
42.98731,-78.80769
43.00217,-78.79880
42.98715,-78.80770
43.00200,-78.79879
42.98700,-78.80770
43.00182,-78.79879
42.98683,-78.80771
43.00165,-78.79879
42.98667,-78.80771
43.00148,-78.79879
42.98652,-78.80772
43.00131,-78.79877
42.98635,-78.80772
43.00115,-78.79876
42.98618,-78.80773
43.00101,-78.79878
42.98601,-78.80773
43.00087,-78.79878
42.98584,-78.80774
43.00074,-78.79878
42.98567,-78.80774
43.00061,-78.79878
42.98550,-78.80774
43.00050,-78.79879
