time,longitude,latitude,altitude (ft)
2020/10/23 19:31:12+00,-78.805844,42.990899,182.108032
2020/10/23 19:31:13+00,-78.805843,42.990912,182.12262
2020/10/23 19:31:14+00,-78.805842,42.990926,182.137161
2020/10/23 19:31:15+00,-78.805839,42.99094,182.151276
2020/10/23 19:31:16+00,-78.805837,42.990954,182.164612
2020/10/23 19:31:17+00,-78.805835,42.990969,182.176849
2020/10/23 19:31:18+00,-78.805833,42.990982,182.187775
2020/10/23 19:31:19+00,-78.805831,42.990996,182.19722
2020/10/23 19:31:20+00,-78.805829,42.991008,182.205124
2020/10/23 19:31:21+00,-78.805827,42.991019,182.211472
2020/10/23 19:31:22+00,-78.805826,42.991029,182.21637
2020/10/23 19:31:23+00,-78.805825,42.991037,182.219986
2020/10/23 19:31:24+00,-78.805825,42.991044,182.222519
2020/10/23 19:31:25+00,-78.805824,42.991048,182.224228
2020/10/23 19:31:26+00,-78.805824,42.991051,182.225403
2020/10/23 19:31:27+00,-78.805824,42.991052,182.226288
2020/10/23 19:31:28+00,-78.805824,42.991052,182.227127
2020/10/23 19:31:29+00,-78.805823,42.991049,182.228027
2020/10/23 19:31:30+00,-78.805823,42.991045,182.22905
2020/10/23 19:31:31+00,-78.805823,42.99104,182.230148
2020/10/23 19:31:32+00,-78.805824,42.991034,182.231125
2020/10/23 19:31:33+00,-78.805824,42.991026,182.23175
2020/10/23 19:31:34+00,-78.805826,42.991018,182.231598
2020/10/23 19:31:35+00,-78.805827,42.991009,182.230133
2020/10/23 19:31:36+00,-78.80583,42.991,182.226715
2020/10/23 19:31:37+00,-78.805834,42.99099,182.220673
2020/10/23 19:31:38+00,-78.805838,42.99098,182.211395
2020/10/23 19:31:39+00,-78.805844,42.99097,182.198273
2020/10/23 19:31:40+00,-78.805852,42.990961,182.18074
2020/10/23 19:31:41+00,-78.805861,42.990952,182.158295
2020/10/23 19:31:42+00,-78.805871,42.990943,182.13063
2020/10/23 19:31:43+00,-78.805883,42.990935,182.097763
2020/10/23 19:31:44+00,-78.805896,42.990928,182.060089
2020/10/23 19:31:45+00,-78.80591,42.990921,182.018219
